nSmart,nBasic,Rounds,Winner
2,2,92,Smart
3,1,209,Smart
4,2,282,Basic
1,3,1121,Smart
2,1,185,Smart
2,3,514,Smart
1,3,668,Smart
3,1,722,Basic
3,1,213,Basic
1,3,195,Smart
2,2,201,Smart
2,1,148,Smart
2,4,230,Smart
2,0,907,Smart
5,1,369,Basic
1,2,322,Smart
1,2,104,Basic
0,2,60,Basic
4,2,231,Smart
3,3,189,Smart
1,1,166,Smart
3,3,188,Smart
2,4,811,Basic
2,2,274,Smart
1,1,180,Smart
3,3,254,Smart
1,1,70,Basic
2,3,1968,Basic
1,2,221,Smart
1,4,189,Smart
2,4,626,Smart
3,2,284,Basic
2,3,414,Smart
3,0,370,Smart
4,1,210,Smart
4,2,271,Basic
4,1,331,Smart
3,1,755,Smart
2,0,124,Smart
3,2,679,Smart
5,0,233,Smart
1,1,169,Basic
1,1,82,Basic
4,0,425,Smart
5,1,580,Basic
4,2,608,Smart
3,1,282,Basic
3,1,561,Smart
5,1,210,Smart
3,1,327,Smart
2,0,220,Smart
3,2,154,Smart
0,6,760,Basic
3,2,1233,Smart
2,3,340,Smart
1,2,241,Smart
2,4,178,Smart
4,2,187,Smart
3,2,283,Smart
5,1,242,Smart
3,3,1486,Smart
1,4,3001,Basic
1,3,2053,Basic
3,0,137,Smart
2,3,1990,Basic
3,3,189,Smart
2,0,267,Smart
0,2,117,Basic
1,1,133,Basic
3,2,77,Smart
0,5,7662,Basic
2,3,101,Smart
2,4,285,Smart
1,2,438,Smart
3,2,2782,Basic
0,2,75,Basic
4,2,132,Smart
1,2,180,Basic
2,0,246,Smart
4,1,641,Smart
1,1,307,Smart
1,1,67,Basic
2,2,879,Basic
1,1,48,Basic
2,4,235,Basic
3,1,323,Smart
3,3,400,Basic
3,3,623,Basic
2,2,491,Basic
2,2,123,Smart
4,1,529,Smart
1,3,435,Smart
4,1,198,Smart
1,1,75,Basic
5,1,364,Smart
2,1,303,Smart
2,4,553,Smart
2,2,353,Smart
2,0,202,Smart
2,3,338,Basic
2,1,459,Basic
3,0,151,Smart
2,4,235,Basic
1,1,106,Basic
2,2,164,Smart
1,5,40317,Basic
1,1,51,Basic
2,2,2577,Basic
2,3,832,Basic
1,1,55,Basic
1,2,273,Basic
2,3,3201,Basic
1,1,73,Basic
1,2,481,Basic
4,1,350,Smart
2,2,570,Smart
3,3,343,Smart
1,3,2686,Basic
1,2,225,Basic
2,4,370,Basic
1,1,69,Basic
1,1,147,Smart
1,1,549,Smart
4,2,210,Smart
3,3,249,Smart
3,0,279,Smart
1,2,219,Smart
0,2,115,Basic
2,3,1548,Basic
5,1,281,Smart
2,4,300,Smart
2,0,532,Smart
4,2,241,Smart
3,2,304,Smart
3,1,189,Smart
4,0,285,Smart
3,3,861,Smart
0,2,85,Basic
0,2,123,Basic
2,3,113,Smart
2,1,167,Basic
2,2,250,Smart
3,2,13699,Smart
3,3,700,Smart
2,1,280,Smart
2,4,493,Basic
2,4,87,Smart
3,3,671,Basic
3,1,298,Basic
3,1,329,Smart
3,3,330,Smart
3,3,22230,Basic
2,1,164,Basic
2,1,109,Smart
2,1,280,Smart
2,3,336,Basic
4,2,217,Smart
2,2,357,Basic
1,4,447,Basic
3,1,232,Smart
2,4,182,Smart
5,1,132,Smart
1,4,114437,Basic
4,1,572,Basic
4,2,103,Smart
2,0,388,Smart
2,0,310,Smart
1,2,293,Basic
2,4,113,Smart
3,2,120,Smart
3,3,959,Smart
2,0,117,Smart
1,2,349,Smart
1,4,261,Smart
2,4,1230,Basic
1,2,547,Smart
1,5,156,Basic
0,2,78,Basic
0,2,631,Basic
3,2,137,Smart
3,0,175,Smart
1,4,187,Smart
1,5,1248,Smart
4,0,1990,Smart
4,1,620,Basic
2,4,104,Smart
4,0,118,Smart
1,1,106,Basic
2,4,356,Smart
4,2,128,Smart
3,1,264,Smart
3,3,149,Smart
1,1,64,Basic
3,0,405,Smart
1,4,171,Smart
3,2,202,Smart
2,4,344,Basic
4,1,188,Smart
1,1,117,Basic
1,2,268,Smart
3,2,141,Smart
2,1,114,Basic
4,2,349,Smart
1,3,421,Smart
1,1,145,Basic
2,2,277,Basic
4,1,425,Smart
1,2,335,Smart
4,2,1466,Smart
3,2,238,Smart
2,4,127,Smart
0,2,99,Basic
5,1,681,Smart
5,1,345,Smart
2,2,192,Smart
4,2,131,Smart
1,1,90,Basic
3,0,503,Smart
0,3,187,Basic
2,3,403,Smart
3,3,5569,Basic
3,3,51,Smart
1,2,216,Smart
2,4,792,Basic
2,3,323,Smart
3,3,212,Smart
2,2,218,Basic
2,0,501,Smart
3,2,1030,Basic
1,1,75,Basic
2,3,320,Smart
4,1,187,Smart
1,1,261,Basic
2,2,648,Smart
2,3,81,Smart
2,1,274,Basic
0,2,99,Basic
2,0,121,Smart
2,0,1099,Smart
0,2,82,Basic
2,4,528,Smart
1,4,1796,Basic
0,3,869,Basic
3,1,144,Smart
3,1,220,Smart
1,1,108,Basic
1,4,608,Basic
4,1,157,Smart
1,3,204,Smart
1,1,91,Basic
3,3,244,Smart
3,2,188,Smart
1,2,849,Basic
3,1,174,Smart
1,3,269,Basic
1,3,247,Basic
2,4,593,Smart
2,4,115,Smart
1,2,261,Basic
2,1,248,Basic
4,1,217,Smart
1,2,104,Basic
1,2,195,Basic
1,3,183,Smart
1,1,61,Basic
1,1,187,Basic
3,2,135,Smart
1,1,90,Basic
3,1,318,Basic
2,1,127,Basic
1,1,189,Basic
4,1,230,Smart
0,2,145,Basic
2,0,799,Smart
3,2,152,Smart
5,0,286,Smart
4,0,730,Smart
1,1,90,Basic
2,1,233,Smart
2,3,221,Smart
1,3,1600,Basic
3,2,206,Basic
3,3,177,Smart
2,1,378,Basic
0,6,243,Basic
3,3,124,Smart
1,3,1691,Basic
2,0,270,Smart
1,5,3535,Basic
1,1,57,Basic
2,0,133,Smart
3,1,115,Smart
2,4,565,Basic
1,2,162,Basic
2,1,213,Smart
2,2,694,Smart
3,0,283,Smart
2,3,527,Smart
3,2,343,Smart
2,0,208,Smart
1,3,445,Basic
2,2,261,Smart
3,3,196,Basic
0,2,70,Basic
2,2,2308,Basic
0,5,23703,Basic
3,0,143,Smart
3,0,211,Smart
5,1,558,Smart
1,1,385,Basic
3,3,117,Basic
2,1,306,Basic
2,1,277,Basic
2,4,222,Smart
2,1,961,Smart
0,4,2537,Basic
0,2,333,Basic
2,2,208,Smart
1,4,9265,Basic
1,2,551,Basic
5,1,793,Smart
2,1,171,Basic
2,2,155,Smart
1,1,129,Basic
2,1,270,Smart
1,2,196,Smart
2,3,253,Smart
1,4,1877,Basic
1,3,164,Smart
3,0,387,Smart
3,0,579,Smart
2,2,133,Smart
1,2,198,Smart
0,3,23943,Basic
3,3,459,Smart
0,3,611,Basic
1,3,410,Smart
1,3,146,Smart
1,5,287,Smart
3,3,265,Basic
2,3,49354,Basic
1,4,6672,Basic
2,2,260,Basic
1,1,159,Smart
1,4,144,Smart
1,1,48,Basic
4,1,392,Smart
0,3,12478,Basic
3,2,240,Smart
2,3,145,Basic
1,1,85,Basic
1,1,76,Basic
0,5,1785,Basic
4,0,690,Smart
4,0,184,Smart
2,2,172,Smart
2,3,371,Smart
3,0,561,Smart
2,4,110,Smart
2,2,126,Smart
1,3,2117,Basic
2,2,480,Smart
4,2,221,Smart
2,1,298,Smart
1,1,48,Basic
2,2,249,Smart
3,3,184,Smart
4,2,205,Smart
4,1,922,Smart
1,1,81,Basic
1,3,426,Smart
0,4,19445,Basic
3,3,168,Basic
1,2,498,Smart
3,2,189,Smart
0,4,90960,Basic
2,1,535,Basic
4,2,68,Smart
1,1,72,Basic
2,4,211,Smart
3,0,353,Smart
3,3,389,Smart
2,4,186,Smart
4,2,646,Basic
4,1,573,Smart
1,2,194,Basic
1,2,387,Basic
1,2,241,Basic
4,2,654,Smart
1,3,149,Smart
2,1,471,Smart
1,4,504,Smart
4,0,295,Smart
5,1,5421,Smart
2,1,162,Smart
4,2,1017,Smart
1,3,1456,Basic
4,2,544,Basic
3,1,117,Smart
1,1,82,Basic
3,1,831,Smart
2,3,183,Smart
3,1,124,Smart
2,4,199,Smart
1,2,379,Basic
1,1,81,Basic
3,0,202,Smart
1,1,67,Basic
3,0,149,Smart
1,3,508,Smart
1,4,769,Basic
1,1,99,Smart
2,3,681,Basic
2,2,324,Basic
4,1,144,Smart
3,3,191,Smart
3,1,442,Smart
3,3,103,Smart
2,2,81,Smart
2,1,104,Smart
2,1,334,Smart
2,4,427,Smart
2,2,236,Basic
2,2,168,Smart
4,1,493,Smart
3,3,141,Smart
1,1,142,Smart
4,1,696,Basic
0,3,51939,Basic
3,2,262,Smart
2,3,165,Smart
1,2,344,Basic
4,1,161,Smart
1,3,260,Smart
1,5,949,Basic
3,0,737,Smart
2,2,263,Smart
4,2,384,Smart
2,2,286,Smart
3,2,264,Smart
0,4,257059,Basic
1,5,2865,Basic
4,2,132,Smart
2,3,491,Smart
5,1,394,Smart
1,1,96,Basic
2,2,150,Smart
3,1,480,Smart
4,2,175,Smart
3,2,198,Smart
2,0,565,Smart
3,0,145,Smart
2,2,150,Smart
3,1,165,Smart
2,4,227,Basic
1,4,169,Smart
2,4,428,Smart
1,4,744,Basic
1,1,36,Basic
2,1,130,Smart
0,3,11356,Basic
5,0,487,Smart
4,0,221,Smart
1,1,73,Basic
0,4,6840,Basic
0,6,8980,Basic
2,4,123,Smart
2,1,93,Smart
0,2,70,Basic
1,1,84,Basic
2,1,394,Smart
2,1,135,Smart
3,0,108,Smart
2,1,147,Smart
1,2,155,Basic
3,1,808,Smart
2,1,185,Basic
4,2,298,Smart
3,1,301,Smart
2,0,138,Smart
3,1,194,Smart
2,2,179,Smart
