Player1,Player2,Player3,Player4,Player5,Player6,Rounds,Winner
Smart,Smart,Smart,Basic,,,1084,Smart
Basic,Basic,Basic,Smart,,,129,Basic
Basic,Smart,Basic,,,,1513,Smart
Smart,Smart,Basic,,,,717,Smart
Basic,Smart,Basic,,,,288,Basic
Smart,Basic,Basic,Basic,Basic,,5493,Basic
Basic,Basic,Smart,Smart,Basic,,674,Smart
Smart,Basic,Smart,Smart,Smart,,651,Smart
Basic,Smart,,,,,114,Smart
Basic,Smart,Smart,Smart,Basic,Basic,946,Smart
Smart,Basic,Basic,Smart,,,405,Smart
Basic,Smart,Basic,,,,511,Smart
Smart,Smart,,,,,300,Smart
Smart,Smart,Basic,Smart,Smart,,251,Smart
Basic,Smart,Basic,Smart,Smart,,879,Smart
Basic,Smart,Smart,Smart,Basic,,504,Smart
Smart,Basic,,,,,631,Smart
Basic,Basic,Basic,Smart,Smart,Smart,777,Basic
Basic,Basic,Basic,,,,54711,Basic
Smart,Smart,Smart,Smart,Basic,Basic,960,Basic
Smart,Basic,Basic,Basic,Smart,,2118,Smart
Basic,Basic,Basic,,,,9875,Basic
Smart,Smart,Basic,Basic,,,179,Basic
Smart,Basic,,,,,84,Basic
Basic,Basic,Smart,Smart,,,3444,Smart
Smart,Basic,Basic,Smart,,,412,Basic
Smart,Basic,Smart,Basic,,,505,Smart
Basic,Basic,Basic,,,,23932,Basic
Basic,Basic,Smart,,,,18098,Basic
Smart,Smart,Basic,Smart,Basic,Smart,153,Basic
Basic,Smart,Basic,Basic,,,1345,Basic
Basic,Smart,Basic,,,,273,Smart
Basic,Basic,Basic,Smart,Basic,,12747,Basic
Smart,Smart,Smart,,,,382,Smart
Smart,Basic,Basic,Basic,Basic,,258,Basic
Basic,Basic,Basic,,,,1086,Basic
Smart,Basic,Smart,Smart,Basic,Smart,811,Smart
Smart,Smart,Basic,Smart,Smart,,547,Basic
Smart,Basic,,,,,70,Smart
Basic,Basic,Smart,Basic,Smart,Smart,3123,Basic
Smart,Smart,Smart,Basic,,,516,Smart
Basic,Basic,Smart,,,,2506,Smart
Basic,Basic,,,,,102,Basic
Smart,Smart,,,,,1002,Smart
